Species,Trait,HighestTrait,CTmax_point,CTmax_lower,CTmax_upper,CTmin_point,CTmin_lower,CTmin_upper,Topt_point,Topt_lower,Topt_upper,Diurnal,Nocturnal,Crepuscular,Source
Aedes_sierrensis_PLA,Fecundity,LarvalDevRate,34,32.25,35.88,0.31,0,2.16,17.15,16,18.5,,,,Couper et al. 2023
Aedes_sierrensis_POW,Fecundity,LarvalDevRate,34.09,32.33,36.09,0.01,0,0.08,17.05,16,18,,,,Couper et al. 2023
Aedes_sierrensis_SB,Fecundity,Fecundity,34.42,32.64,36.29,0.15,0,0.87,17.28,16.5,18.5,,,,Couper et al. 2023
Aedes_sierrensis_WAW,Fecundity,Fecundity,35.06,33.41,36.82,0.19,0,1.07,17.63,17,18.5,,,,Couper et al. 2023
Anopheles_gambiae,Fecundity,BitingRate,32.7,32.27,33.13,15.3,14.65,15.95,25.9,25.37,26.43,0,1,1,Villena et al. 2022
Anopheles_stephensi,Fecundity,BitingRate,36,35.49,36.51,16.05,15.51,16.58,26.2,25.58,26.82,0,1,1,Villena et al. 2022
Culex_annulirostris,Fecundity,MDR,34.2,30.3,38.4,15.95,11.9,17.9,27.1,26.2,28.4,,,,Mordecai et al. 2019
Culex_pipiens,Fecundity,EggViability,38.9,36.2,41.8,5.3,2.6,8.5,22.1,20.1,24.4,,,,Mordecai et al. 2019
Culex_quinquefasciatus,Fecundity,BitingRate,37.7,34.8,40.7,5,1.3,9.8,21.4,18.9,24.4,0,1,1,Mordecai et al. 2019
Aedes_aegypti,ImmatureSurvival,BitingRate,38.3,37.6,39,13.6,12.5,14.5,25.9,25.4,26.4,1,0,1,Mordecai et al. 2019
Aedes_albopictus,ImmatureSurvival,MDR,39.3,37.2,41.6,9.1,6.3,11.6,24.2,22.6,25.7,1,0,1,Mordecai et al. 2019
Aedes_camptorhynchus,ImmatureSurvival,MDR,38.6,35.7,42.3,5.3,1.9,10.1,22,20.2,24.6,,,,Mordecai et al. 2019
Aedes_notoscriptus,ImmatureSurvival,MDR,36.2,34.7,37.9,9.1,7.1,11,20,17,23.6,,,,Mordecai et al. 2019
